step,layer,ratio,lr,loss
1,token_emb.weight,4.84654774e-05,6.00000000e-05,5.654383
1,pos_emb.weight,6.06691464e-05,6.00000000e-05,5.654383
1,blocks.0.ln1.weight,6.01246500e-05,6.00000000e-05,5.654383
1,blocks.0.ln1.bias,9.99999998e-01,6.00000000e-05,5.654383
1,blocks.0.attn.in_proj_weight,6.82112640e-04,6.00000000e-05,5.654383
1,blocks.0.attn.in_proj_bias,9.99999999e-01,6.00000000e-05,5.654383
1,blocks.0.attn.out_proj.weight,8.25678529e-04,6.00000000e-05,5.654383
1,blocks.0.attn.out_proj.bias,9.99999998e-01,6.00000000e-05,5.654383
1,blocks.0.ln2.weight,6.05050476e-05,6.00000000e-05,5.654383
1,blocks.0.ln2.bias,9.99999998e-01,6.00000000e-05,5.654383
1,blocks.0.mlp.0.weight,8.32027709e-04,6.00000000e-05,5.654383
1,blocks.0.mlp.0.bias,8.15396593e-04,6.00000000e-05,5.654383
1,blocks.0.mlp.2.weight,1.66449126e-03,6.00000000e-05,5.654383
1,blocks.0.mlp.2.bias,1.78925026e-03,6.00000000e-05,5.654383
1,blocks.1.ln1.weight,5.99414609e-05,6.00000000e-05,5.654383
1,blocks.1.ln1.bias,9.99999998e-01,6.00000000e-05,5.654383
1,blocks.1.attn.in_proj_weight,6.81488606e-04,6.00000000e-05,5.654383
1,blocks.1.attn.in_proj_bias,9.99999999e-01,6.00000000e-05,5.654383
1,blocks.1.attn.out_proj.weight,8.41052354e-04,6.00000000e-05,5.654383
1,blocks.1.attn.out_proj.bias,9.99999998e-01,6.00000000e-05,5.654383
1,blocks.1.ln2.weight,5.93753667e-05,6.00000000e-05,5.654383
1,blocks.1.ln2.bias,9.99999998e-01,6.00000000e-05,5.654383
1,blocks.1.mlp.0.weight,8.35406387e-04,6.00000000e-05,5.654383
1,blocks.1.mlp.0.bias,8.86637077e-04,6.00000000e-05,5.654383
1,blocks.1.mlp.2.weight,1.67537680e-03,6.00000000e-05,5.654383
1,blocks.1.mlp.2.bias,1.66043769e-03,6.00000000e-05,5.654383
1,ln_f.weight,6.41365285e-05,6.00000000e-05,5.654383
1,ln_f.bias,9.99999998e-01,6.00000000e-05,5.654383
1,lm_head.weight,8.32248618e-04,6.00000000e-05,5.654383
2,token_emb.weight,7.98511393e-05,1.20000000e-04,5.682112
2,pos_emb.weight,8.53560161e-05,1.20000000e-04,5.682112
2,blocks.0.ln1.weight,8.70682846e-05,1.20000000e-04,5.682112
2,blocks.0.ln1.bias,5.96574239e-01,1.20000000e-04,5.682112
2,blocks.0.attn.in_proj_weight,9.52702442e-04,1.20000000e-04,5.682112
2,blocks.0.attn.in_proj_bias,6.50944560e-01,1.20000000e-04,5.682112
2,blocks.0.attn.out_proj.weight,1.15411274e-03,1.20000000e-04,5.682112
2,blocks.0.attn.out_proj.bias,6.45276662e-01,1.20000000e-04,5.682112
2,blocks.0.ln2.weight,8.00166175e-05,1.20000000e-04,5.682112
2,blocks.0.ln2.bias,6.37947510e-01,1.20000000e-04,5.682112
2,blocks.0.mlp.0.weight,1.17477442e-03,1.20000000e-04,5.682112
2,blocks.0.mlp.0.bias,1.15854336e-03,1.20000000e-04,5.682112
2,blocks.0.mlp.2.weight,2.35719320e-03,1.20000000e-04,5.682112
2,blocks.0.mlp.2.bias,2.40977527e-03,1.20000000e-04,5.682112
2,blocks.1.ln1.weight,8.81036287e-05,1.20000000e-04,5.682112
2,blocks.1.ln1.bias,6.50676725e-01,1.20000000e-04,5.682112
2,blocks.1.attn.in_proj_weight,9.59353408e-04,1.20000000e-04,5.682112
2,blocks.1.attn.in_proj_bias,6.49103184e-01,1.20000000e-04,5.682112
2,blocks.1.attn.out_proj.weight,1.19496833e-03,1.20000000e-04,5.682112
2,blocks.1.attn.out_proj.bias,6.35722292e-01,1.20000000e-04,5.682112
2,blocks.1.ln2.weight,8.45888993e-05,1.20000000e-04,5.682112
2,blocks.1.ln2.bias,6.55715137e-01,1.20000000e-04,5.682112
2,blocks.1.mlp.0.weight,1.17964928e-03,1.20000000e-04,5.682112
2,blocks.1.mlp.0.bias,1.24217016e-03,1.20000000e-04,5.682112
2,blocks.1.mlp.2.weight,2.36867154e-03,1.20000000e-04,5.682112
2,blocks.1.mlp.2.bias,2.26241973e-03,1.20000000e-04,5.682112
2,ln_f.weight,1.06742967e-04,1.20000000e-04,5.682112
2,ln_f.bias,6.32978573e-01,1.20000000e-04,5.682112
2,lm_head.weight,1.22566958e-03,1.20000000e-04,5.682112
3,token_emb.weight,1.03736007e-04,1.80000000e-04,5.750477
3,pos_emb.weight,1.04702517e-04,1.80000000e-04,5.750477
3,blocks.0.ln1.weight,1.02469741e-04,1.80000000e-04,5.750477
3,blocks.0.ln1.bias,4.47960074e-01,1.80000000e-04,5.750477
3,blocks.0.attn.in_proj_weight,1.18449171e-03,1.80000000e-04,5.750477
3,blocks.0.attn.in_proj_bias,4.76138651e-01,1.80000000e-04,5.750477
3,blocks.0.attn.out_proj.weight,1.44903588e-03,1.80000000e-04,5.750477
3,blocks.0.attn.out_proj.bias,4.75603886e-01,1.80000000e-04,5.750477
3,blocks.0.ln2.weight,1.05580084e-04,1.80000000e-04,5.750477
3,blocks.0.ln2.bias,4.77759726e-01,1.80000000e-04,5.750477
3,blocks.0.mlp.0.weight,1.44438553e-03,1.80000000e-04,5.750477
3,blocks.0.mlp.0.bias,1.48003695e-03,1.80000000e-04,5.750477
3,blocks.0.mlp.2.weight,2.90721702e-03,1.80000000e-04,5.750477
3,blocks.0.mlp.2.bias,3.07062477e-03,1.80000000e-04,5.750477
3,blocks.1.ln1.weight,1.11733951e-04,1.80000000e-04,5.750477
3,blocks.1.ln1.bias,4.87095848e-01,1.80000000e-04,5.750477
3,blocks.1.attn.in_proj_weight,1.18849788e-03,1.80000000e-04,5.750477
3,blocks.1.attn.in_proj_bias,4.71464832e-01,1.80000000e-04,5.750477
3,blocks.1.attn.out_proj.weight,1.47312713e-03,1.80000000e-04,5.750477
3,blocks.1.attn.out_proj.bias,4.84903572e-01,1.80000000e-04,5.750477
3,blocks.1.ln2.weight,1.01926684e-04,1.80000000e-04,5.750477
3,blocks.1.ln2.bias,4.60845420e-01,1.80000000e-04,5.750477
3,blocks.1.mlp.0.weight,1.45130644e-03,1.80000000e-04,5.750477
3,blocks.1.mlp.0.bias,1.55650030e-03,1.80000000e-04,5.750477
3,blocks.1.mlp.2.weight,2.94500322e-03,1.80000000e-04,5.750477
