stage,world_size,bytes_per_param,gib_per_gpu,cluster_gib,comm,p_gb,fit,headroom_ok
DP,8,16.0,447.0348,3576.2787,2P,60.0,NEVER_FIT,False
ZeRO-1,8,5.5,153.6682,1229.3458,2P,60.0,NEVER_FIT,False
ZeRO-2,8,3.75,104.7738,838.1903,2P,60.0,OOM,False
ZeRO-3,8,2.0,55.8794,447.0348,3P,60.0,FITS,True
DP,16,16.0,447.0348,7152.5574,2P,60.0,NEVER_FIT,False
ZeRO-1,16,4.75,132.7135,2123.4155,2P,60.0,NEVER_FIT,False
ZeRO-2,16,2.875,80.3266,1285.2252,2P,60.0,OOM,False
ZeRO-3,16,1.0,27.9397,447.0348,3P,60.0,FITS,True
DP,32,16.0,447.0348,14305.1147,2P,60.0,NEVER_FIT,False
ZeRO-1,32,4.375,122.2361,3911.5548,2P,60.0,NEVER_FIT,False
ZeRO-2,32,2.4375,68.103,2179.2948,2P,60.0,FITS,True
ZeRO-3,32,0.5,13.9698,447.0348,3P,60.0,FITS,True
DP,64,16.0,447.0348,28610.2295,2P,60.0,NEVER_FIT,False
ZeRO-1,64,4.1875,116.9974,7487.8335,2P,60.0,NEVER_FIT,False
ZeRO-2,64,2.2188,61.9912,3967.4342,2P,60.0,FITS,True
ZeRO-3,64,0.25,6.9849,447.0348,3P,60.0,FITS,True
